image_url,scientific_name
https://inaturalist-open-data.s3.amazonaws.com/photos/68/medium.jpg,Ochotona princeps
https://inaturalist-open-data.s3.amazonaws.com/photos/1009/medium.jpg,Ochotona princeps
https://inaturalist-open-data.s3.amazonaws.com/photos/19709/medium.jpg,Enhydra lutris
https://inaturalist-open-data.s3.amazonaws.com/photos/20196/medium.jpg,Ochotona princeps
https://inaturalist-open-data.s3.amazonaws.com/photos/21362/medium.jpg,Eschrichtius robustus
https://inaturalist-open-data.s3.amazonaws.com/photos/22810/medium.jpg,Reithrodontomys raviventris
https://static.inaturalist.org/photos/141052/medium.png,Ochotona princeps
https://static.inaturalist.org/photos/25884/medium.jpg,Eschrichtius robustus
https://static.inaturalist.org/photos/29561/medium.JPG,Eumetopias jubatus
https://inaturalist-open-data.s3.amazonaws.com/photos/31545/medium.jpg,Eschrichtius robustus
https://static.inaturalist.org/photos/32495/medium.JPG,Erethizon dorsatum
https://inaturalist-open-data.s3.amazonaws.com/photos/36764/medium.JPG,Ochotona princeps
https://inaturalist-open-data.s3.amazonaws.com/photos/4909561/medium.jpg,Balaenoptera musculus
https://inaturalist-open-data.s3.amazonaws.com/photos/54691/medium.JPG,Ochotona princeps
https://static.inaturalist.org/photos/76192/medium.JPG,Reithrodontomys raviventris
https://static.inaturalist.org/photos/59583/medium.jpg,Eschrichtius robustus
https://static.inaturalist.org/photos/60895/medium.JPG,Taxidea taxus
https://static.inaturalist.org/photos/63636/medium.jpg,Taxidea taxus
https://inaturalist-open-data.s3.amazonaws.com/photos/62744/medium.JPG,Antilocapra americana
https://inaturalist-open-data.s3.amazonaws.com/photos/26563/medium.jpg,Ochotona princeps
https://static.inaturalist.org/photos/63348/medium.jpg,Taxidea taxus
https://static.inaturalist.org/photos/63564/medium.jpg,Ochotona princeps
https://static.inaturalist.org/photos/65093/medium.jpg,Taxidea taxus
https://inaturalist-open-data.s3.amazonaws.com/photos/70060/medium.jpg,Megaptera novaeangliae
