image_url,scientific_name
https://inaturalist-open-data.s3.amazonaws.com/photos/624366736/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/624366881/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/624368079/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/624382950/medium.jpg,Tursiops truncatus
https://inaturalist-open-data.s3.amazonaws.com/photos/624454039/medium.jpg,Vormela peregusna
https://inaturalist-open-data.s3.amazonaws.com/photos/624536197/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/624541528/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/624549480/medium.jpg,Erinaceus europaeus
https://inaturalist-open-data.s3.amazonaws.com/photos/624646827/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/624666796/medium.jpg,Gazella gazella
https://inaturalist-open-data.s3.amazonaws.com/photos/624672744/medium.jpg,Pseudorca crassidens
https://inaturalist-open-data.s3.amazonaws.com/photos/624895587/medium.jpg,Meles meles
https://inaturalist-open-data.s3.amazonaws.com/photos/624913198/medium.jpg,Halichoerus grypus
https://inaturalist-open-data.s3.amazonaws.com/photos/625174741/medium.jpg,Phascolarctos cinereus
https://inaturalist-open-data.s3.amazonaws.com/photos/625292611/medium.jpg,Eidolon helvum
https://inaturalist-open-data.s3.amazonaws.com/photos/625042891/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/625042742/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/625042873/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/625042460/medium.jpg,Zalophus wollebaeki
https://inaturalist-open-data.s3.amazonaws.com/photos/625043223/medium.jpg,Zalophus wollebaeki
https://static.inaturalist.org/photos/625565435/medium.jpg,Megaptera novaeangliae
https://static.inaturalist.org/photos/625565554/medium.jpg,Megaptera novaeangliae
https://static.inaturalist.org/photos/625565755/medium.jpg,Megaptera novaeangliae
https://inaturalist-open-data.s3.amazonaws.com/photos/625664946/medium.jpg,Tursiops truncatus
https://inaturalist-open-data.s3.amazonaws.com/photos/625797662/medium.jpg,Erinaceus europaeus
https://inaturalist-open-data.s3.amazonaws.com/photos/625821499/medium.jpg,Globicephala macrorhynchus
https://inaturalist-open-data.s3.amazonaws.com/photos/625821517/medium.jpg,Globicephala macrorhynchus
